Date,Category,Budget,Actual_Spending,Variance,Status
2025-01-01,IT,14695.85,14899.19,-203.34000000000015,Over Budget
2025-01-02,Sales,12751.33,6874.74,5876.59,Saved
2025-01-03,Marketing,14394.99,5738.74,8656.25,Saved
2025-01-04,IT,13948.27,9873.43,4074.84,Saved
2025-01-05,IT,10979.0,15827.81,-4848.8099999999995,Over Budget
2025-01-06,Sales,14218.74,6904.66,7314.08,Saved
2025-01-07,Marketing,5884.93,12065.63,-6180.699999999999,Over Budget
2025-01-08,Marketing,6959.83,13139.44,-6179.610000000001,Over Budget
2025-01-09,IT,5452.27,6851.65,-1399.3799999999992,Over Budget
2025-01-10,Operations,8253.3,12738.6,-4485.300000000001,Over Budget
2025-01-11,IT,8886.77,8413.4,473.3700000000008,Saved
2025-01-12,IT,7713.49,11587.67,-3874.1800000000003,Over Budget
2025-01-13,IT,13287.38,11602.36,1685.0199999999986,Saved
2025-01-14,IT,8567.53,10429.3,-1861.7699999999986,Over Budget
2025-01-15,Sales,7809.35,5083.48,2725.870000000001,Saved
2025-01-16,Marketing,10426.96,14023.63,-3596.67,Over Budget
2025-01-17,Sales,6409.24,7849.36,-1440.12,Over Budget
2025-01-18,Sales,13021.97,6238.22,6783.749999999999,Saved
2025-01-19,Sales,5745.51,4489.3,1256.21,Saved
2025-01-20,IT,14868.87,11090.72,3778.1500000000015,Saved
2025-01-21,Operations,12722.45,12130.77,591.6800000000003,Saved
2025-01-22,Marketing,6987.16,4199.05,2788.1099999999997,Saved
2025-01-23,Operations,5055.22,10145.12,-5089.900000000001,Over Budget
2025-01-24,Sales,13154.61,6717.95,6436.660000000001,Saved
2025-01-25,Sales,12068.57,11742.07,326.5,Saved
2025-01-26,Operations,12290.07,6092.4,6197.67,Saved
2025-01-27,Operations,12712.7,12291.25,421.4500000000007,Saved
2025-01-28,Operations,5740.45,8640.82,-2900.37,Over Budget
2025-01-29,Sales,8584.66,15240.76,-6656.1,Over Budget
2025-01-30,Sales,6158.69,5650.25,508.4399999999996,Saved
2025-01-31,Marketing,13631.03,8092.8,5538.2300000000005,Saved
2025-02-01,Marketing,11232.98,5361.68,5871.299999999999,Saved
2025-02-02,Sales,8308.98,15096.32,-6787.34,Over Budget
2025-02-03,Operations,5635.58,14528.07,-8892.49,Over Budget
2025-02-04,Operations,8109.82,7095.3,1014.5199999999995,Saved
2025-02-05,Marketing,8251.83,11919.81,-3667.9799999999996,Over Budget
2025-02-06,Sales,12296.06,13806.67,-1510.6100000000006,Over Budget
2025-02-07,Marketing,11375.57,10662.41,713.1599999999999,Saved
2025-02-08,Marketing,13872.13,10355.81,3516.3199999999997,Saved
2025-02-09,IT,9722.15,6902.23,2819.92,Saved
2025-02-10,IT,6195.94,5117.23,1078.71,Saved
2025-02-11,IT,12132.45,14766.59,-2634.1399999999994,Over Budget
2025-02-12,Operations,12607.85,14805.02,-2197.17,Over Budget
2025-02-13,Sales,10612.77,11597.22,-984.4499999999989,Over Budget
2025-02-14,Sales,12709.67,8068.36,4641.31,Saved
2025-02-15,Sales,9937.96,8190.51,1747.449999999999,Saved
2025-02-16,Sales,10227.33,12711.47,-2484.1399999999994,Over Budget
2025-02-17,IT,9275.41,14765.32,-5489.91,Over Budget
2025-02-18,Operations,5254.19,14645.04,-9390.850000000002,Over Budget
2025-02-19,Operations,6078.91,13358.51,-7279.6,Over Budget
2025-02-20,IT,5314.29,11704.38,-6390.089999999999,Over Budget
2025-02-21,Operations,11364.1,5009.68,6354.42,Saved
2025-02-22,IT,8143.56,5939.54,2204.0200000000004,Saved
2025-02-23,Sales,10085.71,14782.65,-4696.9400000000005,Over Budget
2025-02-24,IT,14075.66,11277.15,2798.51,Saved
2025-02-25,Sales,7492.92,4110.36,3382.5600000000004,Saved
2025-02-26,Sales,9103.83,5217.66,3886.17,Saved
2025-02-27,Marketing,12555.51,11962.02,593.4899999999998,Saved
2025-02-28,IT,7287.98,4060.74,3227.24,Saved
2025-03-01,Marketing,5769.8,5929.7,-159.89999999999964,Over Budget
2025-03-02,IT,7897.51,10584.81,-2687.2999999999993,Over Budget
2025-03-03,IT,6612.21,12302.74,-5690.53,Over Budget
2025-03-04,Marketing,14296.98,11823.54,2473.4399999999987,Saved
2025-03-05,Marketing,13081.2,6691.23,6389.970000000001,Saved
2025-03-06,IT,11334.04,12546.15,-1212.1099999999988,Over Budget
2025-03-07,Operations,13714.61,6846.99,6867.620000000001,Saved
2025-03-08,Sales,13036.72,7904.8,5131.919999999999,Saved
2025-03-09,Marketing,6865.7,12957.9,-6092.2,Over Budget
2025-03-10,Sales,13925.59,11795.59,2130.0,Saved
2025-03-11,Operations,10393.42,14190.68,-3797.26,Over Budget
2025-03-12,Operations,13074.4,11891.35,1183.0499999999993,Saved
2025-03-13,Operations,13960.91,10819.7,3141.209999999999,Saved
2025-03-14,Marketing,8180.03,5124.1,3055.9299999999994,Saved
2025-03-15,Operations,6100.52,8412.59,-2312.0699999999997,Over Budget
2025-03-16,Marketing,7279.35,7182.43,96.92000000000007,Saved
2025-03-17,Operations,9271.08,6927.88,2343.2,Saved
2025-03-18,Sales,13180.15,15676.13,-2495.9799999999996,Over Budget
2025-03-19,Sales,13607.31,8717.17,4890.139999999999,Saved
2025-03-20,IT,5069.52,14704.56,-9635.039999999999,Over Budget
2025-03-21,Sales,10107.47,11573.66,-1466.1900000000005,Over Budget
2025-03-22,IT,9174.11,13537.74,-4363.629999999999,Over Budget
2025-03-23,Sales,7221.08,10031.65,-2810.5699999999997,Over Budget
2025-03-24,Marketing,6198.65,10922.85,-4724.200000000001,Over Budget
2025-03-25,Sales,8376.15,9910.21,-1534.0599999999995,Over Budget
2025-03-26,IT,14429.1,6342.92,8086.18,Saved
2025-03-27,IT,8232.03,12669.43,-4437.4,Over Budget
2025-03-28,Operations,10187.91,7369.27,2818.6399999999994,Saved
2025-03-29,Marketing,12030.19,4291.79,7738.400000000001,Saved
2025-03-30,Sales,8636.3,11745.67,-3109.370000000001,Over Budget
2025-03-31,Operations,14717.82,6125.33,8592.49,Saved
2025-04-01,Sales,14624.47,15285.5,-661.0300000000007,Over Budget
2025-04-02,Sales,7517.82,15447.14,-7929.32,Over Budget
2025-04-03,Operations,9972.49,14978.37,-5005.880000000001,Over Budget
2025-04-04,Operations,8008.78,8441.9,-433.1199999999999,Over Budget
2025-04-05,Operations,7848.4,4185.48,3662.92,Saved
2025-04-06,Operations,5368.87,15139.82,-9770.95,Over Budget
2025-04-07,Operations,11095.64,9138.21,1957.4300000000003,Saved
2025-04-08,Sales,10026.79,15599.86,-5573.07,Over Budget
2025-04-09,Operations,5514.79,15563.44,-10048.650000000001,Over Budget
2025-04-10,Marketing,7786.46,14236.11,-6449.650000000001,Over Budget
